State,District,ConstituencyEN,ElectionType,CandidateName,Party,BallotVotes,Election,AdvanceBallotVotes,Gender,ConstituencyMM
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,ဦးမြင့်ဇော်ဦး,,1001,2015,45,M,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 6,Amyotha,ဦးလှဝင်းဦး,,1028,2015,102,M,ဧရာဝတီတိုင်းဒေသကြီး ၆
Ayeyarwady Region,,Ayeyarwady Region 10,Amyotha,မန်းနံ့သာ,,1286,2015,67,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၀
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,ဦးထွန်းရွှေ,,1572,2015,64,M,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 3,Amyotha,ဦးဝင်းထိန်,,2565,2015,260,M,ဧရာဝတီတိုင်းဒေသကြီး ၃
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,ဦးအေးကျော်,,2858,2015,153,M,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 3,Amyotha,ဦးမောင်ညို,,2863,2015,260,M,ဧရာဝတီတိုင်းဒေသကြီး ၃
Ayeyarwady Region,,Ayeyarwady Region 10,Amyotha,ဦးသိန်းသန်းထွန်း,,3068,2015,116,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၀
Ayeyarwady Region,,Ayeyarwady Region 3,Amyotha,ဒေါ်နန့်သန်းမြင့်ကြည်,,3541,2015,201,F,ဧရာဝတီတိုင်းဒေသကြီး ၃
Ayeyarwady Region,,Ayeyarwady Region 6,Amyotha,ဦးဇာနည်အောင်,,3939,2015,164,M,ဧရာဝတီတိုင်းဒေသကြီး ၆
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,ဒေါ်ခင်သက်မာထွန်း,,4475,2015,165,F,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 5,Amyotha,ဒေါ်သင်းသင်းဆွေ,,4608,2015,325,F,ဧရာဝတီတိုင်းဒေသကြီး ၅
Ayeyarwady Region,,Ayeyarwady Region 10,Amyotha,ဦးစောကျော်ထွန်း,,4847,2015,200,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၀
Ayeyarwady Region,,Ayeyarwady Region 5,Amyotha,ဒေါ်မွန်မွန်အေး,,5005,2015,273,F,ဧရာဝတီတိုင်းဒေသကြီး ၅
Ayeyarwady Region,,Ayeyarwady Region 3,Amyotha,ဒေါ်ခင်ချိုမွန်,,5214,2015,240,F,ဧရာဝတီတိုင်းဒေသကြီး ၃
Ayeyarwady Region,,Ayeyarwady Region 11,Amyotha,ဦးစောဆာတူဝေါ,,5269,2015,278,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၁
Ayeyarwady Region,,Ayeyarwady Region 12,Amyotha,ဦးစောကက်နက်,,5717,2015,377,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၂
Ayeyarwady Region,,Ayeyarwady Region 6,Amyotha,စောစုသ,,6071,2015,324,M,ဧရာဝတီတိုင်းဒေသကြီး ၆
Ayeyarwady Region,,Ayeyarwady Region 8,Amyotha,ဦးစိုးမင်း,,6152,2015,231,M,ဧရာဝတီတိုင်းဒေသကြီး ၈
Ayeyarwady Region,,Ayeyarwady Region 12,Amyotha,ဦးဖြိုးမင်းဦး,,6660,2015,296,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၂
Ayeyarwady Region,,Ayeyarwady Region 11,Amyotha,ဒေါ်စန္ဒာအောင်,,6775,2015,205,F,ဧရာဝတီတိုင်းဒေသကြီး ၁၁
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,မန်းမြင့်စိုး,,7076,2015,510,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 8,Amyotha,ဦးအောင်သောင်း,,7241,2015,301,M,ဧရာဝတီတိုင်းဒေသကြီး ၈
Ayeyarwady Region,,Ayeyarwady Region 5,Amyotha,ဒေါ်မော်မော်ဆွေ,,7456,2015,490,F,ဧရာဝတီတိုင်းဒေသကြီး ၅
Ayeyarwady Region,,Ayeyarwady Region 10,Amyotha,ဦးချစ်ဆန်းမောင်,,7790,2015,278,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၀
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,ဦးခင်မောင်ရင်,,8197,2015,436,M,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 11,Amyotha,ဦးအုန်းလှ,,8643,2015,367,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၁
Ayeyarwady Region,,Ayeyarwady Region 9,Amyotha,ဒေါ်နမ့်မာမီစန်း,,8848,2015,528,F,ဧရာဝတီတိုင်းဒေသကြီး ၉
Ayeyarwady Region,,Ayeyarwady Region 4,Amyotha,ဦးစောထွန်း,,9799,2015,790,M,ဧရာဝတီတိုင်းဒေသကြီး ၄
Ayeyarwady Region,,Ayeyarwady Region 12,Amyotha,ဦးအောင်သိန်းကြည်,,10151,2015,401,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၂
Ayeyarwady Region,,Ayeyarwady Region 9,Amyotha,နမ့်ခင်အေးဦး,,10554,2015,941,M,ဧရာဝတီတိုင်းဒေသကြီး ၉
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,ဦးငွေကြည်,,11137,2015,438,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 1,Amyotha,စောရော့စကို,,11566,2015,364,M,ဧရာဝတီတိုင်းဒေသကြီး ၁
Ayeyarwady Region,,Ayeyarwady Region 2,Amyotha,ဦးဝေလင်းဦး,,11682,2015,635,M,ဧရာဝတီတိုင်းဒေသကြီး ၂
Ayeyarwady Region,,Ayeyarwady Region 2,Amyotha,နန့်မေခလာဖုန်း,,11831,2015,756,M,ဧရာဝတီတိုင်းဒေသကြီး ၂
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,နမ့်ရူပါသန်း,,12679,2015,531,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,ဦးတင်လှ,,14235,2015,844,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 6,Amyotha,ဦးခင်ရီ,,58751,2015,4797,M,ဧရာဝတီတိုင်းဒေသကြီး ၆
Ayeyarwady Region,,Ayeyarwady Region 3,Amyotha,ဦးမြင့်သိန်း,,65175,2015,7335,M,ဧရာဝတီတိုင်းဒေသကြီး ၃
Ayeyarwady Region,,Ayeyarwady Region 10,Amyotha,ဒေါက်တာမြတ်မြတ်အုန်းခင်,,74906,2015,6045,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၀
Ayeyarwady Region,,Ayeyarwady Region 6,Amyotha,ဦးမန်းထွန်းကြိုင်,,76702,2015,4083,M,ဧရာဝတီတိုင်းဒေသကြီး ၆
Ayeyarwady Region,,Ayeyarwady Region 9,Amyotha,ဦးနိုင်ဝင်း,,81537,2015,8720,M,ဧရာဝတီတိုင်းဒေသကြီး ၉
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,ဒေါက်တာဌေးနိုင်,,83062,2015,6392,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 11,Amyotha,ဦးမောင်မောင်အေး,,88747,2015,6107,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၁
Ayeyarwady Region,,Ayeyarwady Region 5,Amyotha,ဒေါက်တာသန်းထွဋ်,,93829,2015,10565,M,ဧရာဝတီတိုင်းဒေသကြီး ၅
Ayeyarwady Region,,Ayeyarwady Region 2,Amyotha,ဦးသိန်းထိုက်,,100717,2015,8310,M,ဧရာဝတီတိုင်းဒေသကြီး ၂
Ayeyarwady Region,,Ayeyarwady Region 7,Amyotha,ဒေါက်တာပြည့်ဖြိုး,,101223,2015,5001,M,ဧရာဝတီတိုင်းဒေသကြီး ၇
Ayeyarwady Region,,Ayeyarwady Region 12,Amyotha,ဦးလှိုင်ဦး,,103987,2015,8181,M,ဧရာဝတီတိုင်းဒေသကြီး ၁၂
