State,District,ConstituencyEN,ElectionType,CandidateName,Party,BallotVotes,Election,AdvanceBallotVotes,Gender,ConstituencyMM
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးမန်းညွန့်သိန်း,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,59656,2015,3124,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးမန်းကြီးရွှေ,ကရင်အမျိုးသားပါတီ,3201,2015,187,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးမန်းသိန်းလှ,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,4274,2015,256,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဒေါက်တာအောင်ဇော်မြင့်,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,48852,2015,4649,f,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးမန်းဖိုးလတ်ဝင်း,ကရင်ပြည်သူ့ပါတီ,3033,2015,230,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးကြည်လွင်(ခ)ဦးကြည်ထွန်း,ညီညွတ်သောဒီမိုကရက်တစ်ပါတီ(UDP),1129,2015,29,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးစအောင်မိုး,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,2961,2015,135,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,ဦးဝင်းကိုကိုလတ်,တစ်သီးပုဂ္ဂလ,1622,2015,55,m,ပန်းတနော်
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,_invalid,,,,,,
Ayeyarwady Region,Maubin,Pantanaw,Pyithu,_noshow,,,,,,
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,ဦးမောင်လှတင့်,တစ်သီးပုဂ္ဂလ,2296,2015,77,m,တပ်ကုန်း
Naypyitaw,Oke Ta Ra,Tatkon,Pyithu,ဦးသန်း,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,3002,2015,211,m,တပ်ကုန်း
