State,District,Township,ElectionType,Candidate,Party,Votes,Election,AdvanceVote,Gender
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးဘမြင့်,CNDP,1576,2015,31,M
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးကျော်မြ,CLD,1886,2015,37,M
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးညီလွယ်,NUP,2713,2015,90,M
Rakhine State,Kyaukpyu,Ann,Pyithu,_invalid,,7334,2015,,
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးတင်သိန်းအောင်,NLD,11081,2015,501,M
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးကျော်သန်းလှိုင်,ANP,12532,2015,613,M
Rakhine State,Kyaukpyu,Ann,Pyithu,ဦးသိန်းဆွေ,USDP,13037,2015,2852,M
Rakhine State,Kyaukpyu,Ann,Pyithu,_noshow,,23640,2015,,
Bago,Bago,Bago-Amyotha4,Amyotha,ဦးရဲမြင့်,NDP,5234,2015,280,M
Bago,Bago,Bago-Amyotha4,Amyotha,​ဒေါ်တိုးတိုးအောင်,MFDP,6990,2015,420,F
Bago,Bago,Bago-Amyotha4,Amyotha,ဦးအောင်ကြည်ဝင်း,NUP,9415,2015,510,M
Bago,Bago,Bago-Amyotha4,Amyotha,_invalid,,11981,2015,,
Bago,Bago,Bago-Amyotha4,Amyotha,ဦးဇော်ဝင်း,USDP,53815,2015,4587,M
Bago,Bago,Bago-Amyotha4,Amyotha,_noshow,,111989,2015,,
Bago,Bago,Bago-Amyotha4,Amyotha,​ဒေါက်တာဦးဝင်းမြတ်အေး,NLD,121637,2015,6916,M
Mon State,Mawlamine,Chaungzon,Pyithu,ဒေါက်တာစည်သူအောင်,MNP,2981,2015,260,M
Mon State,Mawlamine,Chaungzon,Pyithu,_invalid,,3279,2015,,
Mon State,Mawlamine,Chaungzon,Pyithu,ဦးလှမောင်(ခ)နိုင်လှမောင်,AMRDP,10120,2015,622,M
Mon State,Mawlamine,Chaungzon,Pyithu,ဦးမင်းအောင်သူ,USDP,16613,2015,2176,M
Mon State,Mawlamine,Chaungzon,Pyithu,ဒေါ်ခင်ဌေးကြွယ်,NLD,23580,2015,1559,F
Mon State,Mawlamine,Chaungzon,Pyithu,_noshow,,70676,2015,,
Chin,Thantlang,Chin-Amyotha3,Amyotha,ဦးတလွန်နှင်း,Independent,522,2015,30,M
Chin,Thantlang,Chin-Amyotha3,Amyotha,_invalid,,859,2015,,
Chin,Thantlang,Chin-Amyotha3,Amyotha,_noshow,,4243,2015,,
Chin,Thantlang,Chin-Amyotha3,Amyotha,ဦးဂျေပီဘီာခ်တင်ဆန်း,CNDP,5301,2015,243,M
Chin,Thantlang,Chin-Amyotha3,Amyotha,ဦးဇိုပဲန်း,USDP,7584,2015,451,M
